Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	NM_000927	NP_000918.2	ENSG00000085563	chr7:86971494 - 87067436	ATP binding;ATPase activity;cell surface;hydrolase activity;integral to membrane;membrane;membrane fraction;nucleotide binding;protein binding;response to drug;transport;transporter activity;xenobiotic-transporting ATPase activity	Stability,  Tumor Suppressor
25	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	NM_007313, NM_005157	NP_009297.2, NP_005148.2	ENSG00000097007	chr9:132579527 - 132750891	actin cytoskeleton organization and biogenesis;ATP binding;biological_process;cell adhesion;cellular_component;cytoplasm;cytoskeleton;DNA binding;DNA damage response, signal transduction resulting in induction of apoptosis;intracellular signaling cascade;magnesium ion binding;manganese ion binding;mismatch repair;molecular_function;nucleotide binding;nucleus;peptidyl-tyrosine phosphorylation;protein C-terminus binding;protein modification process;protein-tyrosine kinase activity;regulation of progression th	Alpha6Beta4 Integrin,  Kit Receptor,  Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Tyrosine Kinase,  Entrez Query:Oncogene,  Translocation
80325	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	NM_172027, NM_032548, NM_172028	NP_742024.1, NP_115937.1, NP_742025.1	ENSG00000114626	chr3:128874558 - 128882008	protein binding;translation;translation elongation factor activity	Tumor Suppressor
31	ACACA	acetyl-Coenzyme A carboxylase alpha	NM_198834	NP_942131.1, NP_942135.1	ENSG00000132142	chr17:32518363 - 32840502	acetyl-CoA carboxylase activity;ATP binding;biotin binding;biotin carboxylase activity;fatty acid biosynthetic process;ligase activity;manganese ion binding;metabolic process;metal ion binding;nucleotide binding;protein binding	Stability,  Tumor Suppressor
59	ACTA2	actin, alpha 2, smooth muscle, aorta	NM_001613	NP_001604.1	ENSG00000107796	chr10:90684959 - 90698667	ATP binding;cytoskeleton;nucleotide binding;protein binding;structural molecule activity	Tumor Suppressor
8038	ADAM12	ADAM metallopeptidase domain 12 (meltrin alpha)	NM_003474, NM_021641	NP_003465.3, NP_067673.2	ENSG00000148848	chr10:127695837 - 128066704	cell adhesion;integral to membrane;metal ion binding;metalloendopeptidase activity;myoblast fusion;plasma membrane;protein binding;proteolysis;zinc ion binding	Tumor Suppressor
170692	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif, 18	NM_199355	NP_955387.1	ENSG00000140873	chr16:75875353 - 76026093	metal ion binding;metalloendopeptidase activity;proteinaceous extracellular matrix;proteolysis;zinc ion binding	Tumor Suppressor
9370	ADIPOQ	adiponectin, C1Q and collagen domain containing	NM_004797	NP_004788.1	ENSG00000181092	chr3:188053541 - 188055187	cytoplasm;endoplasmic reticulum;extracellular region;extracellular space;fatty acid beta-oxidation;generation of precursor metabolites and energy;glucose homeostasis;glucose metabolic process;hormone activity;negative regulation of gluconeogenesis;phosphate transport;positive regulation of fatty acid metabolic process;positive regulation of glucose import;positive regulation of I-kappaB kinase/NF-kappaB cascade;protein homooligomerization;response to glucose stimulus	Protein Kinase,  Stability,  Tumor Suppressor
141	ADPRH	ADP-ribosylarginine hydrolase	NM_001125	NP_001116.1	ENSG00000144843	chr3:120783706 - 120789415	ADP-ribosylarginine hydrolase activity;hydrolase activity;magnesium ion binding;protein amino acid ADP-ribosylation;protein modification process	Tumor Suppressor
186	AGTR2	angiotensin II receptor, type 2	NM_000686	NP_000677.2	ENSG00000180772	chrX:115217561 - 115218653	angiotensin mediated vasodilation during regulation of blood pressure;angiotensin type II receptor activity;apoptosis;behavior;blood pressure regulation;bradykinin receptor activity;brain renin-angiotensin system;G-protein coupled receptor protein signaling pathway;integral to plasma membrane;membrane;protein kinase inhibitor activity;receptor activity;rhodopsin-like receptor activity	Protein Kinase,  Stability,  Tumor Suppressor
57491	AHRR	aryl-hydrocarbon receptor repressor	NM_020731	NP_065782.2	ENSG00000063438	chr5:357334 - 487949	nucleus;receptor activity;regulation of transcription, DNA-dependent;signal transduction;transcription regulator activity	Tumor Suppressor
